7:302,58,616,29,8,518,650,76,138,542
46:302,616,58,8,76,542,650,1102,354,15
143:3231,394,483,9453,642,211,17,54193,9451,5026
202:302,58,8,518,542,15,354,1102,138,301
232:55056,40084,83516,2476,100265,81992,5844,107429,48256,6476
288:17,616,58,84,29,76,650,15,1102,101
384:17,616,302,654,8,542,518,650,84,76
490:17,302,29,15,76,650,101,289,61,354
582:616,84,29,76,518,1102,15,564,354,138
634:17,226,76,70,616,58,508,302,780,654
684:168,719,984,5480,8860,76,1460,1326,17,463
773:17,302,654,616,8,84,58,650,101,76
818:984,76,5480,1326,463,8860,2318,564,1528,5738
874:302,58,518,84,76,29,508,301,101,787
964:17,302,654,616,58,8,518,84,15,542
1007:17,654,29,8,84,542,518,564,15,6
1083:62335,32,124,53428,8,1276,3888,2908,45686,13829
1141:17,302,1382,327,787,8,70,508,84,654
1234:17,76,302,616,654,58,168,650,564,719
1305:17,302,58,84,29,8,518,650,542,76
1409:616,8,354,542,138,564,101,15,70,6
1437:17,616,302,76,654,58,650,542,8,564
1491:302,654,616,58,84,8,650,76,1102,518
1560:17,302,58,518,84,15,564,76,61,29
1629:17,616,302,654,58,8,518,15,76,61
1727:17,302,654,616,58,650,29,8,76,84
1780:13960,9354,731,140,48208,10404,10503,72271,88524,32648
1823:17,84,650,542,76,15,6,564,289,354
1890:302,654,616,58,84,8,29,518,1102,76
1951:2121,1360,17,564,542,616,1287,654,899,70
2068:17,616,302,654,58,8,542,15,245,564
2097:302,616,654,58,84,564,15,29,508,289
2162:719,76,5480,1400,463,661,564,1528,5738,574
2247:302,654,616,58,84,518,650,29,564,1102
2302:16229,245,39395,1524,774,353,33882,15642,8398,2696
2363:17,302,616,29,84,8,650,542,76,518
2394:302,654,616,84,58,542,76,29,564,650
2453:71417,29657,23740,22999,20408,4535,16210,2908,50572,1573
2500:654,616,58,84,8,29,76,354,518,650
2541:302,654,58,8,84,518,76,29,15,650
2601:17,302,58,616,29,84,1102,8,354,76
2650:2123,13766,10451,4308,75058,4194,17731,86115,14600,17
2715:984,76,1400,661,2153,564,5738,760,801,81
2748:5287,327,76,564,508,3521,245,3618,19670,1262
2815:984,168,719,463,1400,661,9874,8860,5480,10752
2871:4755,189,378,17,3107,1527,245,508,76,2880
2963:17,616,654,302,58,8,564,542,84,518
3011:52257,101,1382,481,60955,85653,2807,64626,4398,65157
3107:17,76,616,70,302,654,58,8,542,518
3152:17,616,302,654,58,8,542,518,650,76
3195:17,302,8,84,654,616,518,58,542,245
3264:17,302,654,76,616,58,8,866,84,29
3328:616,58,84,29,8,650,76,518,354,542
3386:17,302,654,58,76,616,564,8,650,29
3429:302,654,84,8,76,650,518,354,542,1102
3500:654,616,58,8,84,518,542,650,29,15
3593:17,654,616,58,84,29,518,76,542,1102
3684:568,43588,61157,12266,9877,88545,6103,6901,571,2414
3735:8,29,76,15,101,289,138,6,301,861
3849:58,616,8,518,76,650,138,736,866,542
3934:6823,17084,90431,97603,10541,226,32473,38848,72495,31149
4008:17,302,654,84,616,226,58,138,76,8
4075:17,302,654,76,616,58,8,866,84,29
4138:17,302,654,616,8,84,70,58,76,518
4190:17,654,76,8,736,564,650,302,1790,1023
4265:17,302,654,58,29,616,84,239,1102,8
4353:17,654,787,302,8,616,84,518,58,508
4436:17,616,302,76,654,8,58,518,508,245
4519:17,18722,49928,302,1239,359,55480,6,18159,1558
4637:3926,986,35703,8764,35303,3939,3309,37567,226,140
4696:17,302,654,76,616,58,8,866,84,29
4774:58,616,518,650,76,354,138,542,301,736
4834:17,302,654,616,58,8,518,542,84,245
4926:302,654,616,58,84,8,29,518,650,76
4986:17,654,616,29,8,84,76,650,518,542
5018:654,616,58,84,29,518,650,76,1102,542
5090:17,508,76,354,70,84,787,302,1405,654
5180:17,302,650,616,70,76,873,1405,1023,654
5279:17,302,58,8,29,518,650,736,542,564
5329:17,1119,302,84,654,70,354,245,8,947
5403:654,58,84,29,8,650,76,518,542,1102
5458:17,302,8,616,245,654,564,518,508,84
5502:17,518,654,8,302,616,58,650,199,84
5580:302,654,616,58,84,518,29,650,542,76
5683:17,302,654,84,76,616,58,719,8,301
5765:17,302,654,58,8,518,542,76,15,84
5858:17,76,302,616,654,564,226,58,508,8
5894:17,76,302,70,8,654,508,564,616,226
5978:4146,6117,2857,70,6901,12848,9843,8769,3288,26529
6062:17,302,616,654,76,84,81,8,58,518
6128:84,8,650,76,1102,354,518,138,542,301
6164:17,302,58,616,654,226,76,780,70,564
6270:17,616,654,302,8,518,58,542,84,76
6336:17,302,654,616,84,8,58,76,518,564
6407:302,654,616,58,8,84,76,518,70,508
6555:654,58,616,8,518,650,354,138,15,6
6602:30436,4671,7364,7622,4656,1748,9435,3453,97278,94576
6698:17,302,654,76,616,58,8,866,84,29
6773:616,8,518,301,542,564,101,6,15,285
6895:866,17,654,302,58,76,354,29,616,254
6960:17,302,654,361,76,58,84,616,29,354
7034:17,302,654,58,8,84,518,542,29,15
7116:17,616,302,654,58,8,15,76,518,650
7188:17,302,654,76,616,58,8,866,84,29
7242:19029,5611,44935,20037,9782,94354,7614,22848,110617,5975
7348:302,654,17,58,616,29,84,76,542,1102
7429:17,302,654,76,616,58,8,866,84,29
7518:302,84,654,616,58,518,29,76,354,650
7590:302,654,616,84,29,8,76,650,518,1102
7678:1352,3107,17,2880,3172,4825,76,508,1712,378
7743:17,302,654,58,8,650,542,518,84,70
7841:302,654,58,8,84,518,29,650,76,542
7921:10503,81,17,8454,76,5767,731,27291,840,899
7975:302,654,58,616,84,8,29,76,650,354
8036:984,1400,5480,719,168,135,399,10267,5557,5488
8130:17,302,8,1102,654,518,616,58,354,29
8186:654,616,58,518,29,354,76,650,101,138
8264:17,542,616,302,654,564,58,15,518,1023
8326:302,654,616,58,84,76,8,29,354,1102
8406:17,654,616,58,8,1102,518,29,76,650
8500:81,226,17,70,508,564,76,302,138,616
8569:1352,1527,4825,10041,17,189,508,76,1712,6434
8651:302,654,84,616,58,8,354,29,76,518
8736:17,500,76,616,508,6491,564,226,58,238
8788:58,29,84,8,76,650,518,542,1102,564
8852:17,70,616,76,302,654,58,81,138,84
8906:17,302,654,616,58,76,84,8,518,354
8958:302,654,616,58,84,8,29,76,518,650
9106:302,654,84,616,58,8,29,76,354,518
9159:17,245,616,302,654,353,58,15,518,8
9237:29,84,8,76,542,518,15,1102,101,289
9312:302,654,616,58,84,8,518,29,15,542
9371:302,654,616,58,518,29,76,650,301,138
9437:17,76,616,654,564,542,302,58,508,70
9498:17,302,654,76,616,58,8,866,84,29
9541:774,1195,52271,72145,2403,111355,46570,1410,4422,8457
9606:17,508,76,616,564,81,302,70,542,245
9693:17,654,302,616,58,84,564,8,518,76
9755:17,654,58,616,29,84,650,8,76,1102
9827:17,616,302,654,58,8,518,542,84,76
9892:17,8,245,616,61,654,15,302,32,542
9946:10503,17,81,8454,840,605,14508,76,27291,5767
10084:91352,52056,3068,301,302,104526,29721,76833,70,10662
10133:138,3610,500,224,117,9043,9289,704,1884,542
10233:18156,1592,58227,100785,26628,7728,13411,2548,1208,17
10302:58,616,84,8,1102,354,650,76,518,138
10359:302,654,58,616,84,8,1102,354,650,76
10420:17,58,302,654,8,76,29,84,650,542
10502:41101,11241,28760,58923,22678,42323,49575,53201,110086,56913
10636:302,654,616,84,29,8,76,354,650,1102
10770:17,311,76,7622,2543,7334,8,787,11855,2215
10854:13566,51617,54897,78928,23368,16689,41850,45662,52282,75779
10968:616,17,654,58,302,542,564,8,861,518
11105:302,654,616,8,518,29,354,76,650,301
11222:19544,50369,34240,96442,76,56320,15,899,63192,17
11332:31188,168,43198,33019,508,19063,74854,15484,1097,100792
11426:236,17,654,776,12253,10075,302,14750,4203,3448
11484:17,616,654,302,58,542,518,15,8,61
11552:302,654,58,84,616,8,29,76,1102,650
11651:17,302,616,58,654,650,76,285,224,29
11723:17,654,616,542,302,58,84,8,564,518
11835:17,58,29,616,84,1102,650,8,76,354
11864:17,302,654,76,616,58,8,866,84,29
11922:17,654,302,616,29,84,8,76,650,289
11988:302,654,616,58,84,8,29,76,518,542
12047:17,2139,616,8,518,508,76,302,58,654
12232:17,654,302,29,8,84,542,76,650,518
12310:17,302,654,616,8,58,518,76,29,650
12406:17,302,654,226,616,138,58,84,76,354
12496:2924,2744,15937,22510,16433,36443,65938,30223,89721,17
12541:17,302,654,226,616,76,84,138,58,354
12573:17,616,58,654,302,15,650,542,29,8
12660:17,616,302,654,58,8,564,542,518,861
12753:17,302,654,616,58,650,8,29,84,564
12796:17,76,361,866,302,654,616,58,2139,564
12892:302,654,616,58,84,76,8,29,518,542
12967:17,654,302,616,58,61,542,245,15,8
13039:533,76,10981,6311,8772,17316,226,7926,17,311
13094:17,302,616,654,8,84,58,736,76,542
13195:17,616,302,8,650,654,542,58,518,76
13296:924,301,302,43124,2547,176,500,31496,1539,17
13377:17,302,654,616,76,58,650,8,226,542
13444:17,302,616,654,8,58,84,518,76,226
13506:302,17,654,58,616,84,650,285,354,8
13584:17,616,654,302,58,15,518,8,61,564
13643:19062,5738,15479,17,302,654,76,616,58,8
13758:17,654,58,616,29,84,8,650,76,1102
13835:361,866,17,654,302,546,58,76,2139,616
13912:4,40,564,698,2139,10048,6303,76,1460,2008
14015:17,302,654,76,616,58,8,866,84,29
14084:17,302,654,58,616,84,899,3389,8,245
14148:22155,67745,2854,33475,114,81399,36128,7243,3619,11434
14321:78283,1187,32909,3764,22283,24790,118878,49601,52177,22579
14445:17,654,616,84,302,650,8,58,508,542
14536:168,719,8860,1326,984,5480,1400,2103,574,5738
14619:1730,5097,3568,2139,17,890,4743,40,76,866
14712:8066,2548,245,7210,131,17,61,226,29,84
14771:17,226,780,76,262,302,616,70,58,654
14863:302,654,84,58,616,8,29,1102,354,76
14933:840,10541,157,17,8069,245,61,14793,508,564
15027:17,500,616,76,6491,564,508,58,226,8
15104:17,302,654,58,616,29,76,650,542,15
15187:5149,7333,46312,28428,64250,25733,27401,5864,2140,16303
15278:17,302,616,654,8,518,58,15,84,32
15333:17,302,58,654,8,542,84,518,564,76
15394:17,302,616,654,58,8,518,29,84,650
15466:17,302,654,76,616,58,8,866,84,29
15525:29,84,8,76,650,1102,354,518,542,564
15604:302,654,58,84,8,29,76,518,650,542
15671:17,302,654,76,616,58,8,866,84,29
15782:8,518,84,378,17,1589,1102,101,7006,902
15890:302,17,654,58,616,84,354,650,1102,8
15988:669,429,924,17,1069,5083,8005,2073,119221,1339
16088:17,616,654,302,58,542,8,29,518,84
16151:17,302,58,84,29,518,76,1102,650,542
16234:168,984,5480,1400,8860,76,661,1326,5738,7838
16302:17,302,518,8,84,70,65,76,654,616
16388:17,542,518,616,8,302,289,654,76,61
16515:17,226,780,70,76,302,508,616,654,58
16558:17,302,654,76,616,58,8,866,84,29
16674:17,302,616,654,84,58,76,564,542,1102
16833:337,77581,805,385,11281,83173,62840,80736,3250,39936
16896:17,76,58,780,616,226,70,654,302,8
16983:17,302,654,8,76,84,29,518,650,542
17079:17,616,302,58,654,518,8,542,564,76
17159:17,616,302,542,654,58,518,8,61,15
17251:168,719,1326,8860,984,10267,76,7838,661,5480
17358:302,654,58,616,84,8,29,76,1102,518
17473:1410,302,508,65,654,76,17,1382,1023,361
17528:17,616,302,654,58,8,518,29,564,650
17592:17,508,302,76,8,564,616,168,654,70
17689:302,654,616,58,518,29,650,76,301,138
17812:302,654,616,58,84,8,518,76,29,542
17919:542,616,17,302,654,15,518,564,554,58
18005:17,302,654,76,616,58,8,866,84,29
18123:866,17,302,654,354,76,29,84,58,616
18187:947,1131,378,4005,1382,16978,8,354,3256,17
18273:17,780,76,226,302,262,616,58,70,654
18384:17,302,58,654,8,650,76,84,29,518
18496:168,463,984,719,8733,1230,5488,1400,574,1013
18657:17,518,8,654,616,84,58,902,787,239
18712:38152,2523,10695,1449,59616,79743,31834,176,63109,19302
18885:17,508,70,1023,1462,76,226,302,363,8
19022:17,780,262,226,76,302,654,616,58,70
19062:17,616,654,518,302,289,58,3017,902,70
19130:17,616,654,302,58,564,84,8,76,518
19185:220,3014,4807,2739,96043,86544,1002,9239,23190,58652
19265:17,654,616,302,58,29,1550,84,8,285
19354:17,40,76,262,358,596,45,238,10684,62
19443:17,302,654,76,616,58,8,866,84,29
19475:500,81,564,245,698,76,358,226,262,17
19554:17,302,654,58,518,1102,76,542,650,29
19757:17,76,616,302,654,564,58,650,81,542
19847:17,302,58,616,29,84,8,76,650,70
19996:302,654,84,58,616,8,29,1102,354,76
20120:23116,28915,7292,155,1558,2168,1407,1987,5471,17039
20234:17,58,616,29,1102,8,518,650,76,70
20327:80321,25969,59670,17,302,654,76,616,58,8
20409:17,302,654,76,616,58,8,866,84,29
20466:9594,4671,14259,1077,1468,7468,17,7622,327,787
20547:17,429,616,654,8,302,542,76,58,508
20628:17,302,654,8,616,1102,58,518,29,354
20756:17,76,70,238,84,81,61,138,1023,179
20858:533,4889,1397,2510,14268,4656,6311,8640,306,17
20950:61,17,58,302,1578,1987,179,4414,3144,486
21037:76,17,564,698,302,616,654,2139,8,58
21160:17,226,302,654,76,616,138,84,8,354
21288:17,224,302,654,58,616,650,1245,29,76
21476:17,302,654,76,616,58,8,866,84,29
21599:17,654,616,302,58,76,542,508,564,224
